MARKER_ID,MARKER_ADDRESS,MARKER_STATUS,LAT,LON,ENVIRONMENT_NAME,A_ROAD_NAME,A_ROAD_TYPE,A_ROAD_SUFFIX,B_ROAD_NAME,B_ROAD_TYPE,B_ROAD_SUFFIX,LOCALITY,DirText
APL103,,IN CAD,-37.841984,144.966746,ALBERT PARK LAKE,AQUATIC,DR,,ALBERT ROAD,DR,,ALBERT PARK,EMERG MRKR APL103: NEAREST I/S AQUATIC DR & ALBERT ROAD DR=> GDA94 LAT:-37.841984 LON:144.966746=> TRAVEL SOUTH-EAST 330M ON AQUATIC DRIVE TO LAKE FRONT=> THEN SOUTH-WEST 10M ACROSS LAWN
APL104,,IN CAD,-37.84188,144.964351,ALBERT PARK LAKE,AUGHTIE,DR,,ALBERT ROAD,DR,,ALBERT PARK,EMERG MRKR APL104: NEAREST I/S AUGHTIE DR & ALBERT ROAD DR=> GDA94 LAT:-37.84188 LON:144.964351=> TRAVEL SOUTH 130M ON AUGHTIE DRIVE TO ROUND ABOUT=> THEN SOUTH-EAST 75M THROUGH CARPARK ARRIVE AT=> PLANT WILLIAMSON ROWING PAVILION MARKER ON NORTH FACING WALL
APL105,,IN CAD,-37.838497,144.967285,ALBERT PARK LAKE,ALBERT ROAD,DR,,AQUATIC,DR,,ALBERT PARK,EMERG MRKR APL105: NEAREST I/S ALBERT ROAD DR & AQUATIC DR=> GDA94 LAT:-37.838497 LON:144.967285=> TRAVEL NORTH-EAST 100M ON ALBERT ROAD DRIVE TO GRAVEL PATH=> THEN SOUTH-EAST 20M ON GRAVEL PATH TO ROTUNDA
APL106,,IN CAD,-37.84172,144.971276,ALBERT PARK LAKE,LAKESIDE,DR,,ALBERT ROAD,DR,,ALBERT PARK,EMERG MRKR APL106: NEAREST I/S LAKESIDE DR & ALBERT ROAD DR=> GDA94 LAT:-37.84172 LON:144.971276=> TRAVEL SOUTH-EAST 600M ON LAKESIDE DRIVE TO CARPARK=> THEN WEST 30M OVER GRASS TO ROTUNDA
APL107,,IN CAD,-37.846866,144.971306,ALBERT PARK LAKE,LAKESIDE,DR,,QUEENS,RD,,ALBERT PARK,EMERG MRKR APL107: NEAREST I/S LAKESIDE DR & QUEENS RD=> GDA94 LAT:-37.846866 LON:144.971306=> TRAVEL WEST 40M ON LAKESIDE DRIVE TO INTERSECTION=> THEN NORTH-WEST 570M ON LAKESIDE DRIVE
APL108,,IN CAD,-37.848702,144.974312,ALBERT PARK LAKE,LAKESIDE,DR,,QUEENS,RD,,ALBERT PARK,EMERG MRKR APL108: NEAREST I/S LAKESIDE DR & QUEENS RD=> GDA94 LAT:-37.848702 LON:144.974312=> TRAVEL WEST 40M ON LAKESIDE DRIVE TO INTERSECTION=> THEN NORTH-WEST 270M ON LAKESIDE DRIVE=> THEN SOUTH 60M OVER GRASS TO ROTUNDA
APL109,,IN CAD,-37.853279,144.977392,ALBERT PARK LAKE,ROSS GREGORY,DR,,LAKESIDE,DR,,ALBERT PARK,EMERG MRKR APL109: NEAREST I/S ROSS GREGORY DR & LAKESIDE DR=> GDA94 LAT:-37.853279 LON:144.977392=> TRAVEL WEST 95M ON ROSS GREGORY DRIVE=> THEN NORTH 10M OVER GRASS TO INFORMATION ROTUNDA
APL110,,IN CAD,-37.85056,144.973875,ALBERT PARK LAKE,AUGHTIE,DR,,ROSS GREGORY,DR,,ALBERT PARK,EMERG MRKR APL110: NEAREST I/S AUGHTIE DR & ROSS GREGORY DR=> GDA94 LAT:-37.85056 LON:144.973875=> TRAVEL NORTH-WEST 280M ON AUGHTIE DRIVE TO CARPARK=> THEN NORTH-WEST 140M IN CARPARK=> THEN NORTH-EAST 65M OVER GRASS TO ROTUNDA
APL111,,IN CAD,-37.850476,144.973184,ALBERT PARK LAKE,AUGHTIE,DR,,ROSS GREGORY,DR,,ALBERT PARK,EMERG MRKR APL111: NEAREST I/S AUGHTIE DR & ROSS GREGORY DR=> GDA94 LAT:-37.850476 LON:144.973184=> TRAVEL NORTH-WEST 280M ON AUGHTIE DRIVE TO CARPARK ENTRANCE=> THEN NORTH-WEST 190M TO END OF CARPARK=> THEN NORTH-EAST 20M OVER GRASS TO TOILET BLOCK
APL112,,IN CAD,-37.849677,144.972808,ALBERT PARK LAKE,AUGHTIE,DR,,ROSS GREGORY,DR,,ALBERT PARK,EMERG MRKR APL112: NEAREST I/S AUGHTIE DR & ROSS GREGORY DR=> GDA94 LAT:-37.849677 LON:144.972808=> TRAVEL NORTH-WEST 280M ON AUGHTIE DRIVE TO CARPARK ENTRANCE=> THEN NORTH-WEST 190M TO END OF CARPARK=> THEN NORTH 105M OVER GRASS TO ROTUNDA
ART100,,IN CAD,-38.358201,144.946594,ARTHURS SEAT,PURVES,RD,,ARTHURS SEAT,RD,,ARTHURS SEAT,EMERG MRKR ART100: NEAREST I/S PURVES RD & ARTHURS SEAT RD=> GDA94 LAT:-38.358201 LON:144.946594=> ACCESS TO LOCKED GATES CONTACT PARKS VIC ON 131963=> TRAVEL SOUTH 300M ON PURVES RD TO ENTRANCE OF SEAWINDS PARK=> THEN WEST 400M ON INTERNAL RD=> THEN NORTH-WEST 20M AT BBQ'S
ART105,,IN CAD,-38.353223,144.950477,ARTHURS SEAT,ARTHURS SEAT,RD,,PURVES,RD,,ARTHURS SEAT,EMERG MRKR ART105: NEAREST I/S ARTHURS SEAT RD & PURVES RD=> GDA94 LAT:-38.353223 LON:144.950477=> ARTHURS SEAT SUMMIT CAR PARK=> CONTACT PARKS VIC ON 131963=> TRAVEL NORTH-EAST 70M ON ARTHURS SEAT RD=> CAR PARK ENTRANCE=> THEN NORTH 70M IN SUMMIT LOOKOUT CAR PARK TO INFO BOARD
ART110,,IN CAD,-38.354163,144.947052,ARTHURS SEAT,ARTHURS SEAT,RD,,PURVES,RD,,ARTHURS SEAT,EMERG MRKR ART110: NEAREST I/S ARTHURS SEAT RD & PURVES RD=> GDA94 LAT:-38.354163 LON:144.947052=> ACCESS TO LOCKED GATES CONTACT PARKS VIC ON 131963=> TRAVEL SOUTH-WEST 380M DOWNHILL ON ARTHURS SEAT RD
ELT022,,IN CAD,-37.833721,145.216929,EASTLINK,EASTLINK IN-CANTERBURY,RAMP,OF,CANTERBURY,RD,,RINGWOOD,EMERG MRKR ELT022: NEAREST I/S EASTLINK IN-CANTERBURY RAMP & CANTERBURY RD=> GDA94 LAT:-37.833721 LON:145.216929=> TRAVEL SOUTH 130M ON EASTLINK TRL=> VEHICLE ACCESS WEST SIDE OF CANTERBURY OFF RAMP
ELT023,,IN CAD,-37.838044,145.215896,EASTLINK,EASTLINK IN-CANTERBURY,RAMP,OF,CANTERBURY,RD,,RINGWOOD,EMERG MRKR ELT023: NEAREST I/S EASTLINK IN-CANTERBURY RAMP & CANTERBURY RD=> GDA94 LAT:-37.838044 LON:145.215896=> TRAVEL SOUTH 685M DOWNHILL ON EASTLINK TRL=> VEHICLE TURNING OK AT MARKER
ELT024,,IN CAD,-37.839841,145.214639,EASTLINK,TULKARA,GV,,ABBEY,WLK,,VERMONT,EMERG MRKR ELT024: NEAREST I/S TULKARA GV & ABBEY WLK=> GDA94 LAT:-37.839841 LON:145.214639=> TRAVEL SOUTH-EAST 155M ON ABBEY WALK TO EASTLINK TRL=> NO VEHICLE ACCESS
ELT030,,IN CAD,-37.861218,145.210604,EASTLINK,BURWOOD,HWY,,EASTLINK IN-BURWOOD,RAMP,OF,WANTIRNA SOUTH,EMERG MRKR ELT030: NEAREST I/S BURWOOD HWY & EASTLINK IN-BURWOOD RAMP=> GDA94 LAT:-37.861218 LON:145.210604=> TRAVEL SOUTH 30M ON EASTLINK TRAIL AT BURWOOD HWY AT OFF RAMP ON WESTERN SIDE=> VEHICLE ACCESS OK
ELT031,,IN CAD,-37.868212,145.210763,EASTLINK,BURWOOD,HWY,,EASTLINK,TRL,,WANTIRNA SOUTH,EMERG MRKR ELT031: NEAREST I/S BURWOOD HWY & EASTLINK TRL=> GDA94 LAT:-37.868212 LON:145.210763=> TRAVEL SOUTH 785M ON EASTLINK TRL TO PUMPS RD OVERPASS=> VEHICLE ACCESS OK
ELT032,,IN CAD,-37.873285,145.211322,EASTLINK,EASTLINK,TRL,,HIGH STREET-EASTLINK IN,RAMP,,WANTIRNA SOUTH,EMERG MRKR ELT032: NEAREST I/S EASTLINK TRL & HIGH STREET-EASTLINK IN RAMP=> GDA94 LAT:-37.873285 LON:145.211322=> TRAVEL NORTH 355M ON EASTLINK TRL=> RESTRICTED VEHICLE ACCESS AT HIGH ST RD
ELT033,,IN CAD,-37.877002,145.211891,EASTLINK,EASTLINK,TRL,,EASTLINK IN-HIGH STREET,RAMP,OF,WANTIRNA SOUTH,EMERG MRKR ELT033: NEAREST I/S EASTLINK TRL & EASTLINK IN-HIGH STREET RAMP=> GDA94 LAT:-37.877002 LON:145.211891=> TRAVEL SOUTH 45M ON EASTLINK TRL AT HIGH ST RD INTERSECTION
ELT034,,IN CAD,-37.882368,145.214188,EASTLINK,GEORGE,ST,,HIGH STREET,RD,,SCORESBY,EMERG MRKR ELT034: NEAREST I/S GEORGE ST & HIGH STREET RD=> GDA94 LAT:-37.882368 LON:145.214188=> TRAVEL SOUTH-EAST 750M ON GEORGE ST EASTLINK TRL ON GEORGE ST SOUTH OF KNOX TRANSFER STATION
ELT035,,IN CAD,-37.888116,145.214445,EASTLINK,LLEWELLYN PARK,DR,,GEORGE,ST,,SCORESBY,EMERG MRKR ELT035: NEAREST I/S LLEWELLYN PARK DR & GEORGE ST=> GDA94 LAT:-37.888116 LON:145.214445=> TRAVEL WEST 205M ON GEORGE ST TO EASTLINK ACCESS PATH 95 M NORTH OF GEORGE ST OVERPASS
ELT036,,IN CAD,-37.891311,145.214403,EASTLINK,LLEWELLYN PARK,DR,,GEORGE,ST,,SCORESBY,EMERG MRKR ELT036: NEAREST I/S LLEWELLYN PARK DR & GEORGE ST=> GDA94 LAT:-37.891311 LON:145.214403=> TRAVEL WEST 205M ON GEORGE ST TO EASTLINK ACCESS PATH 95 M NORTH OF GEORGE ST OVERPASS=> THEN SOUTH 360M ON EASTLINK TRAIL=> VEHICLE ACCESS OK
ELT037,,IN CAD,-37.895813,145.21415,EASTLINK,FERNTREE GULLY,RD,,EASTLINK,TRL,,SCORESBY,EMERG MRKR ELT037: NEAREST I/S FERNTREE GULLY RD & EASTLINK TRL=> GDA94 LAT:-37.895813 LON:145.21415=> TRAVEL NORTH 860M ON EASTLINK TRAIL=> VEHICLE ACCESS OK
ELT038,,IN CAD,-37.900304,145.214378,EASTLINK,EASTLINK,TRL,,FERNTREE GULLY,RD,,SCORESBY,EMERG MRKR ELT038: NEAREST I/S EASTLINK TRL & FERNTREE GULLY RD=> GDA94 LAT:-37.900304 LON:145.214378=> TRAVEL NORTH 350M ON EASTLINK TRAIL=> VEHICLE ACCESS OK
ELT045,,IN CAD,-37.928486,145.205553,EASTLINK,ALDERBROOK,AV,,HOLMBURY,BLVD,,MULGRAVE,EMERG MRKR ELT045: NEAREST I/S ALDERBROOK AV & HOLMBURY BLVD=> GDA94 LAT:-37.928486 LON:145.205553=> TRAVEL EAST 25M ON ACCESS PATH TO EASTLINK TRL AT SOUTHERN MOST INTERSECTION
ELT046,,IN CAD,-37.932347,145.207422,EASTLINK,FERNBANK,CR,,PORTLAND,ST,,MULGRAVE,EMERG MRKR ELT046: NEAREST I/S FERNBANK CR & PORTLAND ST=> GDA94 LAT:-37.932347 LON:145.207422=> TRAVEL NORTH-EAST 100M ON FERNBANK CR TO ACCESS PATH TO EASTLINK TRL AT NORTHERN MOST INTERSECTION=> THEN NORTH-EAST 45M ON ACCESS PATH TO EASTLINK
ELT047,,IN CAD,-37.934122,145.209203,EASTLINK,BLANTON,DRV,,OLIVER,CT,,MULGRAVE,EMERG MRKR ELT047: NEAREST I/S BLANTON DRV & OLIVER CT=> GDA94 LAT:-37.934122 LON:145.209203=> TRAVEL NORTH-EAST 45M ON BLANTON DR TO ACCESS PATH TO EASTLINK TRL=> THEN NORTH-EAST 40M ON GRAVEL ACCESS PATH=> THEN NORTH-WEST 385M ON GRAVEL DANDENONG CREEK PATH TO EASTLINK TRAIL ON EAST SIDE OF EASTLINK FWY
ELT048,,IN CAD,-37.937268,145.208413,EASTLINK,EASTLINK,TRL,,EASTLINK OUT-POLICE,RAMP,OF,MULGRAVE,EMERG MRKR ELT048: NEAREST I/S EASTLINK TRL & EASTLINK OUT-POLICE RAMP=> GDA94 LAT:-37.937268 LON:145.208413=> TRAVEL NORTH 255M ACCESS VIA POLICE RD AND EASTLINK OFF RAMP THEN DOWNHILL ON EASTLINK ACCESS PATH=> RESTRICTED VEHICLE ACCESS TURNING OK AT MARKER=> THEN SOUTH 520M ON EASTLINK TRL HEIGHT RESTRICTIONS AT UNDERPASS AT ELT048=> HEIGHT RESTRICTIONS
ELT049,,IN CAD,-37.941526,145.207079,EASTLINK,POLICE,RD,,EASTLINK OUT-POLICE,RAMP,OF,MULGRAVE,EMERG MRKR ELT049: NEAREST I/S POLICE RD & EASTLINK OUT-POLICE RAMP=> GDA94 LAT:-37.941526 LON:145.207079=> TRAVEL NORTH 255M ACCESS VIA POLICE RD AND EASTLINK OFF RAMP THEN DOWNHILL ON EASTLINK ACCESS PATH=> RESTRICTED VEHICLE ACCESS TURNING OK AT MARKER=> THEN SOUTH 520M ON EASTLINK TRL HEIGHT RESTRICTIONS AT UNDERPASS AT ELT048=> HEIGHT RESTRICTIONS
ELT050,,IN CAD,-37.945918,145.206241,EASTLINK,BLAND,ST,,HALTON,RD,,MULGRAVE,EMERG MRKR ELT050: NEAREST I/S BLAND ST & HALTON RD=> GDA94 LAT:-37.945918 LON:145.206241=> TRAVEL WEST 150M ON HALTON RD TO ACCESS=> THEN WEST 165M ON EASTLINK ACCESS PATH AT WEST SIDE OF LYNDALE SEC COLLEGE=> THEN NORTH-EAST 1215M ON EASTLINK TRAIL TO MARKER AT MONASH FWY OVERPASS
ELT051,,IN CAD,-37.950161,145.20454,EASTLINK,HALTON,RD,,BLAND,ST,,MULGRAVE,EMERG MRKR ELT051: NEAREST I/S HALTON RD & BLAND ST=> GDA94 LAT:-37.950161 LON:145.20454=> TRAVEL WEST 150M ON HALTON RD TO ACCESS=> THEN WEST 165M ON EASTLINK ACCESS PATH AT WEST SIDE OF LYNDALE SEC COLLEGE=> THEN NORTH 735M ON EASTLINK TRL ACCESS OK=> TURNING RESTRICTIONS
ELT052,,IN CAD,-37.954414,145.203384,EASTLINK,HALTON,RD,,BLAND,ST,,MULGRAVE,EMERG MRKR ELT052: NEAREST I/S HALTON RD & BLAND ST=> GDA94 LAT:-37.954414 LON:145.203384=> TRAVEL WEST 150M ON HALTON RD TO ACCESS=> THEN WEST 165M ON EASTLINK ACCESS PATH AT WEST SIDE OF LYNDALE SEC COLLEGE=> THEN NORTH 735M ON EASTLINK TRL ACCESS OK=> TURNING RESTRICTIONS
ELT053,,IN CAD,-37.959552,145.200758,EASTLINK,DARWIN,ST,,AZALEA,CR,,DANDENONG NORTH,EMERG MRKR ELT053: NEAREST I/S DARWIN ST & AZALEA CR=> GDA94 LAT:-37.959552 LON:145.200758=> TRAVEL WEST 55M ON PINEWOOD AV TO EASTLINK TRL ACCESS=> LOCKED GATE=> THEN NORTH-EAST 155M ON EASTLINK TRL
ELT054,,IN CAD,-37.964316,145.194133,EASTLINK,WIMPOLE,ST,,HEYINGTON,CR,,NOBLE PARK,EMERG MRKR ELT054: NEAREST I/S WIMPOLE ST & HEYINGTON CR=> GDA94 LAT:-37.964316 LON:145.194133=> TRAVEL SOUTH 110M DOWNHILL ON EASTLINK TRL
ELT055,,IN CAD,-37.971735,145.193747,EASTLINK,CLAUDIA,ST,,CYRIL,GR,,NOBLE PARK,EMERG MRKR ELT055: NEAREST I/S CLAUDIA ST & CYRIL GR=> GDA94 LAT:-37.971735 LON:145.193747=> TRAVEL EAST 20M FROM INTERSECTION TO EASTLINK TRL
ELT056,,IN CAD,-37.971662,145.195295,EASTLINK,ALEXANDER,AV,,CARMEN,ST,,DANDENONG,EMERG MRKR ELT056: NEAREST I/S ALEXANDER AV & CARMEN ST=> GDA94 LAT:-37.971662 LON:145.195295=> TRAVEL SOUTH 80M ON ALEANDRA AV TO FOTHERING RESERVE=> LOCKED GATE=> THEN SOUTH-WEST 85M ON ACCESS PATH TO EASTLINK TRL JUNCTION WEST OF PAVILION
ELT057,,IN CAD,-37.974366,145.194566,EASTLINK,PYKE,ST,,ALEXANDER,AV,,DANDENONG,EMERG MRKR ELT057: NEAREST I/S PYKE ST & ALEXANDER AV=> GDA94 LAT:-37.974366 LON:145.194566=> TRAVEL NORTH-WEST 125M ON PYKE ST TO LOCKED GATE=> THEN NORTH 30M ON EASTLINK TRL
ELT058,,IN CAD,-37.978175,145.194144,EASTLINK,ROLEX,CT,,RAILWAY,PDE,,DANDENONG,EMERG MRKR ELT058: NEAREST I/S ROLEX CT & RAILWAY PDE=> GDA94 LAT:-37.978175 LON:145.194144=> TRAVEL WEST 20M ON RAILWAY PDE TO EASTLINK TRL AT BUS STOP 2046=> THEN NORTH-EAST 130M ON EASTLINK TRL
ELT059,,IN CAD,-37.979936,145.192054,EASTLINK,HANNA,ST,,MAXWELL,CT,,DANDENONG,EMERG MRKR ELT059: NEAREST I/S HANNA ST & MAXWELL CT=> GDA94 LAT:-37.979936 LON:145.192054=> TRAVEL SOUTH-EAST 490M ON HANNA CT TOWARDS EASTLINK OVERPASS=> LOCKED GATES KEY 83 PH=> THEN SOUTH 125M ON EASTLINK TRL AT UNDERPASS
ELT060,,IN CAD,-37.983409,145.194564,EASTLINK,BENNET,ST,,ATTENBOROUGH,ST,,DANDENONG,EMERG MRKR ELT060: NEAREST I/S BENNET ST & ATTENBOROUGH ST=> GDA94 LAT:-37.983409 LON:145.194564=> TRAVEL NORTH-WEST 410M ON INTERNAL RAOD WITHIN GREAVES RESERVE HEAD NORTH WEST TO NETBALLL COMPLEX=> LOCKED GATE NEAR NETBALL COURTS PH=> THEN WEST 90M ON GRAVEL TRACK TOWARDS EASTLINK TRAIL
ELT061,,IN CAD,-37.987349,145.193901,EASTLINK,BENNET,ST,,ATTENBOROUGH,ST,,DANDENONG,EMERG MRKR ELT061: NEAREST I/S BENNET ST & ATTENBOROUGH ST=> GDA94 LAT:-37.987349 LON:145.193901=> TRAVEL NORTH-WEST 410M ON INTERNAL RAOD WITHIN GREAVES RESERVE HEAD NORTH WEST TO NETBALLL COMPLEX=> LOCKED GATE NEAR NETBALL COURTS PH=> THEN WEST 90M ON GRAVEL TRACK TOWARDS EASTLINK TRAIL=> THEN SOUTH 460M ON EASTLINK TRAIL
ELT062,,IN CAD,-37.990836,145.193021,EASTLINK,EASTLINK,TRL,,CHELTENHAM,RD,,DANDENONG,EMERG MRKR ELT062: NEAREST I/S EASTLINK TRL & CHELTENHAM RD=> GDA94 LAT:-37.990836 LON:145.193021=> TRAVEL NORTH 130M ON EASTINK TRL ACCESS EAST OF EASTLINK OVERPASS ON CHELTENHAM RD
ELT063,,IN CAD,-37.995655,145.192697,EASTLINK,CHELTENHAM,RD,,DINGLEY,AV,,DANDENONG,EMERG MRKR ELT063: NEAREST I/S CHELTENHAM RD & DINGLEY AV=> GDA94 LAT:-37.995655 LON:145.192697=> TRAVEL SOUTH-WEST 235M ON CHELTENHAM RD TO ACCESS PATH TO EASTLINK TRAIL=> THEN SOUTH-WEST 410M ON EASTLINK TRAIL ACCESS ON SOUTH SIDE OF CHELTENHAM RD ON EAST SIDE OF EASTLINK OVERPASS
ELT064,,IN CAD,-37.998627,145.194051,EASTLINK,DANDENONG,BYPA,,EASTLINK OUT-DANDENONG,RAMP,OF,KEYSBOROUGH,EMERG MRKR ELT064: NEAREST I/S DANDENONG BYPA & EASTLINK OUT-DANDENONG RAMP=> GDA94 LAT:-37.998627 LON:145.194051=> TRAVEL NORTH 45M ON ACCESS PATH TO EASTLINK TRAIL=> THEN WEST 175M ON PATH ON NTH SIDE OF DANDENONG BYPASS TO EASTLINK TRAIL=> THEN NORTH 130M ON EASTLINK TRAIL TO JUNCTION WHERE IT CROSSES DANDENONG CREEK=> THEN WEST 115M ON TRAIL ACROSS DANDENONG CREEK=> THEN NORTH 160M ON EASTLINK TRAIL
ELT065,,IN CAD,-38.001089,145.193816,EASTLINK,DANDENONG,BYPA,,DANDENONG CREEK,TRL,,DANDENONG SOUTH,EMERG MRKR ELT065: NEAREST I/S DANDENONG BYPA & DANDENONG CREEK TRL=> GDA94 LAT:-38.001089 LON:145.193816=> TRAVEL EAST 175M ON DANDENONG BYPASS TO ACCESS TRAIL ON NTH SIDE OF ROAD=> THEN NORTH 45M ON ACCESS PATH TO EASTLINK TRAIL=> THEN WEST 175M ON PATH ON NTH SIDE OF DANDENONG BYPASS TO EASTLINK TRAIL
ELT066,,IN CAD,-38.005482,145.192291,EASTLINK,EASTLINK,TRL,,GREENS,RD,,DANDENONG SOUTH,EMERG MRKR ELT066: NEAREST I/S EASTLINK TRL & GREENS RD=> GDA94 LAT:-38.005482 LON:145.192291=> TRAVEL WEST 130M ON ACCESS TRAIL TO EASTLINK PATH ACCESS ON EAST SIDE OF EASTLINK ON SOUTHERN SIDE OF GREENS RD=> THEN NORTH 290M ON EASTLINK TRAIL
ELT067,,IN CAD,-38.009744,145.19126,EASTLINK,GREENS,RD,,EASTLINK,TRL,,DANDENONG SOUTH,EMERG MRKR ELT067: NEAREST I/S GREENS RD & EASTLINK TRL=> GDA94 LAT:-38.009744 LON:145.19126=> TRAVEL WEST 130M ON ACCESS TRAIL TO EASTLINK PATH ACCESS ON EAST SIDE OF EASTLINK ON SOUTHERN SIDE OF GREENS RD=> THEN NORTH 290M ON EASTLINK TRAIL
BCT200,,IN CAD,-37.872181,145.290124,BLIND CREEK TRAIL,UNDERWOOD,RD,,ST ELMO,AV,,FERNTREE GULLY,EMERG MRKR BCT200: NEAREST I/S UNDERWOOD RD & ST ELMO AV=> GDA94 LAT:-37.872181 LON:145.290124=> TRAVEL NORTH-WEST 115M ON UNDERWOOD RD TO START BLIND CRK TRL AT BUS STOP 12897
